Dist.,School,DBN,Grade Level,Type of School,Principal,Arts Education Liaision,Cultural & Arts Partners,Arts Discipline,Total Number of Students Served,Total Contact Hours Per Student,Dist.
,P.S. 130 Hernando De Soto,02M130,"PK,0K,01,02,03,04,05,SE",Elementary School,Renny Fong,Kenneth Mendez,Ballroom Dancing,Dance,,,2.0
,P.S. 130 Hernando De Soto,02M130,"PK,0K,01,02,03,04,05,SE",Elementary School,Renny Fong,Kenneth Mendez,Ballroom Dancing,Dance,,,2.0
,P.S. 130 Hernando De Soto,02M130,"PK,0K,01,02,03,04,05,SE",Elementary School,Renny Fong,Kenneth Mendez,Inside Broadway / Midtown Management Group,Theater,,,2.0
,P.S. 130 Hernando De Soto,02M130,"PK,0K,01,02,03,04,05,SE",Elementary School,Renny Fong,Kenneth Mendez,Inside Broadway / Midtown Management Group,Theater,,,2.0
,P.S. 130 Hernando De Soto,02M130,"PK,0K,01,02,03,04,05,SE",Elementary School,Renny Fong,Kenneth Mendez,Inside Broadway / Midtown Management Group,Theater,,,2.0
,P.S. 130 Hernando De Soto,02M130,"PK,0K,01,02,03,04,05,SE",Elementary School,Renny Fong,Kenneth Mendez,Inside Broadway / Midtown Management Group,Theater,,,2.0
,P.S. 130 Hernando De Soto,02M130,"PK,0K,01,02,03,04,05,SE",Elementary School,Renny Fong,Kenneth Mendez,National Dance Institute,Dance,,,2.0
,P.S. 130 Hernando De Soto,02M130,"PK,0K,01,02,03,04,05,SE",Elementary School,Renny Fong,Kenneth Mendez,National Dance Institute,Dance,,,2.0
,P.S. 130 Hernando De Soto,02M130,"PK,0K,01,02,03,04,05,SE",Elementary School,Renny Fong,Kenneth Mendez,National Dance Institute,Dance,,,2.0
,P.S. 130 Hernando De Soto,02M130,"PK,0K,01,02,03,04,05,SE",Elementary School,Renny Fong,Kenneth Mendez,Rosie's Theatre Kids,Theater,,,2.0
,P.S. 130 Hernando De Soto,02M130,"PK,0K,01,02,03,04,05,SE",Elementary School,Renny Fong,Kenneth Mendez,Rosie's Theatre Kids,Theater,,,2.0
,P.S. 130 Hernando De Soto,02M130,"PK,0K,01,02,03,04,05,SE",Elementary School,Renny Fong,Kenneth Mendez,Third Street Music School Settlement,Music,,,2.0
,P.S. 130 Hernando De Soto,02M130,"PK,0K,01,02,03,04,05,SE",Elementary School,Renny Fong,Kenneth Mendez,Young People's Chorus of New York City,Music,,,2.0
,P.S. 130 Hernando De Soto,02M130,"PK,0K,01,02,03,04,05,SE",Elementary School,Renny Fong,Kenneth Mendez,Young People's Chorus of New York City,Music,,,2.0
,P.S. 150,02M150,"PK,0K,01,02,03,04,05",Elementary School,Jennifer Bonnet,Jennifer Bonnet,ArtsConnection,Dance,,,2.0
,P.S. 158 Bayard Taylor,02M158,"PK,0K,01,02,03,04,05,SE",Elementary School,Dina Ercolano,Mary Semack,Ballet Hispanico of New York,Dance,,,2.0
,P.S. 158 Bayard Taylor,02M158,"PK,0K,01,02,03,04,05,SE",Elementary School,Dina Ercolano,Mary Semack,Children's Museum of the Arts,Visual Arts,,,2.0
,P.S. 158 Bayard Taylor,02M158,"PK,0K,01,02,03,04,05,SE",Elementary School,Dina Ercolano,Mary Semack,Creative Stages,Theater,,,2.0
,P.S. 158 Bayard Taylor,02M158,"PK,0K,01,02,03,04,05,SE",Elementary School,Dina Ercolano,Mary Semack,Marquis Studios,Theater,,,2.0
,P.S. 158 Bayard Taylor,02M158,"PK,0K,01,02,03,04,05,SE",Elementary School,Dina Ercolano,Mary Semack,Peridance Contemporary Dance Company,Dance,,,2.0
,P.S. 158 Bayard Taylor,02M158,"PK,0K,01,02,03,04,05,SE",Elementary School,Dina Ercolano,Mary Semack,"Town Hall Foundation, The",Dance,,,2.0
,P.S. 158 Bayard Taylor,02M158,"PK,0K,01,02,03,04,05,SE",Elementary School,Dina Ercolano,Mary Semack,"Town Hall Foundation, The",Music,,,2.0
,P.S. 183 Robert L. Stevenson,02M183,"PK,0K,01,02,03,04,05,SE",Elementary School,Martin Woodard,Sophia Casas,Gali Theater,Theater,,,2.0
,P.S. 183 Robert L. Stevenson,02M183,"PK,0K,01,02,03,04,05,SE",Elementary School,Martin Woodard,Sophia Casas,Materials for the Arts,Visual Arts,,,2.0
,P.S. 183 Robert L. Stevenson,02M183,"PK,0K,01,02,03,04,05,SE",Elementary School,Martin Woodard,Sophia Casas,"Metropolitan Museum of Art, The",Visual Arts,,,2.0
,P.S. 183 Robert L. Stevenson,02M183,"PK,0K,01,02,03,04,05,SE",Elementary School,Martin Woodard,Sophia Casas,Museum of Modern Art,Visual Arts,,,2.0
,P.S. 183 Robert L. Stevenson,02M183,"PK,0K,01,02,03,04,05,SE",Elementary School,Martin Woodard,Sophia Casas,National Dance Institute,Dance,,,2.0
,P.S. 183 Robert L. Stevenson,02M183,"PK,0K,01,02,03,04,05,SE",Elementary School,Martin Woodard,Sophia Casas,New York Botanical Gardens,Other,,,2.0
,P.S. 183 Robert L. Stevenson,02M183,"PK,0K,01,02,03,04,05,SE",Elementary School,Martin Woodard,Sophia Casas,Whitney Museum of American Art,Visual Arts,,,2.0
,P.S. 198 Isador E. Ida Straus,02M198,"PK,0K,01,02,03,04,05,SE",Elementary School,Katharine Macmanus,Amy Smith,Art Works,Visual Arts,,,2.0
,P.S. 198 Isador E. Ida Straus,02M198,"PK,0K,01,02,03,04,05,SE",Elementary School,Katharine Macmanus,Amy Smith,Creative Stages,Theater,,,2.0
,P.S. 198 Isador E. Ida Straus,02M198,"PK,0K,01,02,03,04,05,SE",Elementary School,Katharine Macmanus,Amy Smith,Dancing Classroom American Ballroom,Dance,,,2.0
,P.S. 198 Isador E. Ida Straus,02M198,"PK,0K,01,02,03,04,05,SE",Elementary School,Katharine Macmanus,Amy Smith,New-York Historical Society,Other,,,2.0
,P.S. 198 Isador E. Ida Straus,02M198,"PK,0K,01,02,03,04,05,SE",Elementary School,Katharine Macmanus,Amy Smith,Story Pirates,Theater,,,2.0
,P.S. 212 Midtown West,02M212,"PK,0K,01,02,03,04,05",Elementary School,Kathleen Loua,Kathleen Loua,Children's Institute of Fashion Arts,Visual Arts,,,2.0
,P.S. 212 Midtown West,02M212,"PK,0K,01,02,03,04,05",Elementary School,Kathleen Loua,Kathleen Loua,TADA! Theatre and Dance Alliance,Theater,,,2.0
,P.S. 234 Independence School,02M234,"0K,01,02,03,04,05,SE",Elementary School,Lisa Ripperger,Madeleine Arthurs,Center for Arts Education,Music,,,2.0
,P.S. 234 Independence School,02M234,"0K,01,02,03,04,05,SE",Elementary School,Lisa Ripperger,Madeleine Arthurs,National Dance Institute,Dance,,,2.0
,P.S. 290 Manhattan New School,02M290,"PK,0K,01,02,03,04,05,SE",Elementary School,Doreen Esposito,Lisa Rizzi,Wingspan Arts,Theater,,,2.0
,P.S. 527 - East Side School for Social Action,02M527,"0K,01,02,03,04,05,SE",Elementary School,Daniel Mccormick,Jessica Clark,92nd Street YMCA,Dance,,,2.0
,P.S. 527 - East Side School for Social Action,02M527,"0K,01,02,03,04,05,SE",Elementary School,Daniel Mccormick,Jessica Clark,92nd Street YMCA,Music,,,2.0
,P.S. 527 - East Side School for Social Action,02M527,"0K,01,02,03,04,05,SE",Elementary School,Daniel Mccormick,Jessica Clark,92nd Street YMCA,Theater,,,2.0
,P.S. 527 - East Side School for Social Action,02M527,"0K,01,02,03,04,05,SE",Elementary School,Daniel Mccormick,Jessica Clark,92nd Street YMCA,Visual Arts,,,2.0
,P.S. 77 Lower Lab School,02M077,"0K,01,02,03,04,05",Elementary School,Sandra Miller,Michelle Liss,Center for Architecture,Visual Arts,,,2.0
,P.S. 77 Lower Lab School,02M077,"0K,01,02,03,04,05",Elementary School,Sandra Miller,Michelle Liss,Inside Broadway / Midtown Management Group,Theater,,,2.0
,P.S. 77 Lower Lab School,02M077,"0K,01,02,03,04,05",Elementary School,Sandra Miller,Michelle Liss,Salvadori Center,Visual Arts,,,2.0
,P.S. 77 Lower Lab School,02M077,"0K,01,02,03,04,05",Elementary School,Sandra Miller,Michelle Liss,Symphony Space,Music,,,2.0
,P.S. 77 Lower Lab School,02M077,"0K,01,02,03,04,05",Elementary School,Sandra Miller,Michelle Liss,Wingspan Arts,Theater,,,2.0
,P.S. 89,02M089,"PK,0K,01,02,03,04,05,SE",Elementary School,Veronica Najjar,Catherine Gallant,Dancing Classroom American Ballroom,Dance,,,2.0
,P.S. 89,02M089,"PK,0K,01,02,03,04,05,SE",Elementary School,Veronica Najjar,Catherine Gallant,Jazz at Lincoln Center,Music,,,2.0
,P.S. 89,02M089,"PK,0K,01,02,03,04,05,SE",Elementary School,Veronica Najjar,Catherine Gallant,Jose Limon Dance Company,Dance,,,2.0
,P.S. 89,02M089,"PK,0K,01,02,03,04,05,SE",Elementary School,Veronica Najjar,Catherine Gallant,Knickerbocker Chamber Orchestra,Music,,,2.0
,P.S./I.S. 217 Roosevelt Island,02M217,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Mandana Beckman,Ursula Fokine,American Ballet Theatre,Dance,,,2.0
,P.S./I.S. 217 Roosevelt Island,02M217,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Mandana Beckman,Ursula Fokine,American Museum of Natural History,Visual Arts,,,2.0
,P.S./I.S. 217 Roosevelt Island,02M217,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Mandana Beckman,Ursula Fokine,Arts on Stage,Theater,,,2.0
,P.S./I.S. 217 Roosevelt Island,02M217,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Mandana Beckman,Ursula Fokine,Bartow Pell Mansion,Other,,,2.0
,P.S./I.S. 217 Roosevelt Island,02M217,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Mandana Beckman,Ursula Fokine,Children's Museum of Manhattan,Visual Arts,,,2.0
,P.S./I.S. 217 Roosevelt Island,02M217,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Mandana Beckman,Ursula Fokine,Circle Line,Visual Arts,,,2.0
,P.S./I.S. 217 Roosevelt Island,02M217,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Mandana Beckman,Ursula Fokine,Consititution Center Phila.,Other,,,2.0
,P.S./I.S. 217 Roosevelt Island,02M217,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Mandana Beckman,Ursula Fokine,Cooper Hewitt Museum,Visual Arts,,,2.0
,P.S./I.S. 217 Roosevelt Island,02M217,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Mandana Beckman,Ursula Fokine,Cornell Tech University,Film/Media,,,2.0
,P.S./I.S. 217 Roosevelt Island,02M217,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Mandana Beckman,Ursula Fokine,Cornell Tech University,Film/Media,,,2.0
,P.S./I.S. 217 Roosevelt Island,02M217,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Mandana Beckman,Ursula Fokine,Dancewave,Dance,,,2.0
,P.S./I.S. 217 Roosevelt Island,02M217,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Mandana Beckman,Ursula Fokine,Four Freedoms Park,Other,,,2.0
,P.S./I.S. 217 Roosevelt Island,02M217,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Mandana Beckman,Ursula Fokine,Four Freedoms Park,Other,,,2.0
,P.S./I.S. 217 Roosevelt Island,02M217,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Mandana Beckman,Ursula Fokine,Franklin Institutute Phila.,Other,,,2.0
,P.S./I.S. 217 Roosevelt Island,02M217,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Mandana Beckman,Ursula Fokine,Fraunces Tavern Museum,Other,,,2.0
,P.S./I.S. 217 Roosevelt Island,02M217,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Mandana Beckman,Ursula Fokine,Hall of Science,Other,,,2.0
,P.S./I.S. 217 Roosevelt Island,02M217,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Mandana Beckman,Ursula Fokine,Intrepid,Other,,,2.0
,P.S./I.S. 217 Roosevelt Island,02M217,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Mandana Beckman,Ursula Fokine,Isadora Duncan Dance Foundation,Dance,,,2.0
,P.S./I.S. 217 Roosevelt Island,02M217,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Mandana Beckman,Ursula Fokine,Materials for the Arts,Visual Arts,,,2.0
,P.S./I.S. 217 Roosevelt Island,02M217,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Mandana Beckman,Ursula Fokine,Math Museum,Other,,,2.0
,P.S./I.S. 217 Roosevelt Island,02M217,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Mandana Beckman,Ursula Fokine,"Metropolitan Museum of Art, The",Visual Arts,,,2.0
,P.S./I.S. 217 Roosevelt Island,02M217,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Mandana Beckman,Ursula Fokine,Museum of Modern Art,Visual Arts,,,2.0
,P.S./I.S. 217 Roosevelt Island,02M217,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Mandana Beckman,Ursula Fokine,Museum of the City of New York,Visual Arts,,,2.0
,P.S./I.S. 217 Roosevelt Island,02M217,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Mandana Beckman,Ursula Fokine,New York Architecture Museum,Visual Arts,,,2.0
,P.S./I.S. 217 Roosevelt Island,02M217,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Mandana Beckman,Ursula Fokine,New York City Children's Theater,Theater,,,2.0
,P.S./I.S. 217 Roosevelt Island,02M217,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Mandana Beckman,Ursula Fokine,New-York Historical Society,Visual Arts,,,2.0
,P.S./I.S. 217 Roosevelt Island,02M217,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Mandana Beckman,Ursula Fokine,ny Tours: African Burial Ground & Wall Street,Other,,,2.0
,P.S./I.S. 217 Roosevelt Island,02M217,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Mandana Beckman,Ursula Fokine,Roosevelt Island Main Street Theater & Dance Alliance,Dance,,,2.0
,P.S./I.S. 217 Roosevelt Island,02M217,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Mandana Beckman,Ursula Fokine,Roosevelt Island Theater & Dance Alliance,Theater,,,2.0
,P.S./I.S. 217 Roosevelt Island,02M217,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Mandana Beckman,Ursula Fokine,Salvadori Center,Visual Arts,,,2.0
,P.S./I.S. 217 Roosevelt Island,02M217,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Mandana Beckman,Ursula Fokine,Salvadori Center,Visual Arts,,,2.0
,P.S./I.S. 217 Roosevelt Island,02M217,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Mandana Beckman,Ursula Fokine,Sing & Play Space (Music Together),Music,,,2.0
,P.S./I.S. 217 Roosevelt Island,02M217,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Mandana Beckman,Ursula Fokine,Studio in a School Association,Visual Arts,,,2.0
,P.S./I.S. 217 Roosevelt Island,02M217,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Mandana Beckman,Ursula Fokine,Swedish Cottage,Theater,,,2.0
,P.S./I.S. 217 Roosevelt Island,02M217,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Mandana Beckman,Ursula Fokine,"Town Hall Foundation, The",Theater,,,2.0
,Pace High School,02M298,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Eric Glatz,Eric Glatz,Learning Through an Expanded Arts Program (LEAP),Theater,,,2.0
,Professional Performing Arts High School,02M408,"06,07,08,09,10,11,12,SE",Middle and High School,Keith Ryan,Charles Vassallo,Alvin Ailey Dance Foundation,Dance,,--,2.0
,Professional Performing Arts High School,02M408,"06,07,08,09,10,11,12,SE",Middle and High School,Keith Ryan,Charles Vassallo,American Ballet Theatre,Dance,,--,2.0
,Professional Performing Arts High School,02M408,"06,07,08,09,10,11,12,SE",Middle and High School,Keith Ryan,Charles Vassallo,Ballet Tech Foundation,Dance,,--,2.0
,Professional Performing Arts High School,02M408,"06,07,08,09,10,11,12,SE",Middle and High School,Keith Ryan,Charles Vassallo,"Juilliard School, The",Music,,--,2.0
,Professional Performing Arts High School,02M408,"06,07,08,09,10,11,12,SE",Middle and High School,Keith Ryan,Charles Vassallo,National Chorale,Music,,--,2.0
,Professional Performing Arts High School,02M408,"06,07,08,09,10,11,12,SE",Middle and High School,Keith Ryan,Charles Vassallo,New York City Ballet,Dance,,--,2.0
,Professional Performing Arts High School,02M408,"06,07,08,09,10,11,12,SE",Middle and High School,Keith Ryan,Charles Vassallo,Rosie's Theatre Kids,Theater,,--,2.0
,Professional Performing Arts High School,02M408,"06,07,08,09,10,11,12,SE",Middle and High School,Keith Ryan,Charles Vassallo,Waterwell Productions,Theater,,--,2.0
,Quest to Learn,02M422,"06,07,08,09,10,11,12,SE",Middle and High School,Nicholas Jurman,Nicholas Jurman,None,,,,2.0
,Repertory Company High School for Theatre Arts,02M531,"09,10,11,12,SE",High School,Michael Fram,Keeshon Morrow,Circle in the Square Theatre School,Theater,,,2.0
,Repertory Company High School for Theatre Arts,02M531,"09,10,11,12,SE",High School,Michael Fram,Keeshon Morrow,Dancewave,Dance,,,2.0
,Repertory Company High School for Theatre Arts,02M531,"09,10,11,12,SE",High School,Michael Fram,Keeshon Morrow,Flamenco Vivo Carlota Santana,Dance,,,2.0
,Repertory Company High School for Theatre Arts,02M531,"09,10,11,12,SE",High School,Michael Fram,Keeshon Morrow,Learning Through an Expanded Arts Program (LEAP),Theater,,,2.0
,Repertory Company High School for Theatre Arts,02M531,"09,10,11,12,SE",High School,Michael Fram,Keeshon Morrow,Roundabout Theatre Company,Theater,,,2.0
,Repertory Company High School for Theatre Arts,02M531,"09,10,11,12,SE",High School,Michael Fram,Keeshon Morrow,Theatre Development Fund,Theater,,,2.0
,Repertory Company High School for Theatre Arts,02M531,"09,10,11,12,SE",High School,Michael Fram,Keeshon Morrow,"Town Hall Foundation, The",Theater,,,2.0
,Repertory Company High School for Theatre Arts,02M531,"09,10,11,12,SE",High School,Michael Fram,Keeshon Morrow,Young People's Chorus of New York City,Music,,,2.0
,Richard R. Green High School of Teaching,02M580,"09,10,11,12,SE",High School,Joan Weaver,Jackie Mayol,"Metropolitan Museum of Art, The",Visual Arts,,,2.0
,Satellite Academy High School,02M570,"09,11,12",High School,Steven Zbaida,Jacqueline Grossman,None,,,,2.0
,School of the Future High School,02M413,"06,07,08,09,10,11,12,SE",Middle and High School,Stacy Goldstein,John Fanning,None,,,,2.0
,Sixth Avenue Elementary School,02M340,"PK,0K,01,02,03,SE",Elementary School,Patricia Carney,Patricia Carney,Joyce Theater,Theater,,,2.0
,Sixth Avenue Elementary School,02M340,"PK,0K,01,02,03,SE",Elementary School,Patricia Carney,Patricia Carney,Take Two,Film/Media,,,2.0
,Spruce Street School,02M397,"PK,0K,01,02,03,04,05,06,07,08,SE",Elementary and Middle School,Nancy Harris,Nancy Harris,National Dance Institute,Dance,,,2.0
,Stephen T. Mather Building Arts & Craftsmanship High School,02M139,"09,10,11,12,SE",High School,Larry Gabbard,Lisa Diclerico,National Park Service,Other,,,2.0
,Stephen T. Mather Building Arts & Craftsmanship High School,02M139,"09,10,11,12,SE",High School,Larry Gabbard,Lisa Diclerico,National Park Service,Other,,,2.0
,Stephen T. Mather Building Arts & Craftsmanship High School,02M139,"09,10,11,12,SE",High School,Larry Gabbard,Lisa Diclerico,National Park Service,Other,,,2.0
,Stuyvesant High School,02M475,"09,10,11,12",High School,Eric Contreras,Raymond Wheeler,CASA,Music,,,2.0
,Talent Unlimited High School,02M519,"09,10,11,12,SE",High School,Yeou Jey Vasconcelos,Babette Connor Pisco,Academy for Teachers,Theater,,,2.0
,Talent Unlimited High School,02M519,"09,10,11,12,SE",High School,Yeou Jey Vasconcelos,Babette Connor Pisco,American Composers Orchestra,Music,,,2.0
,Talent Unlimited High School,02M519,"09,10,11,12,SE",High School,Yeou Jey Vasconcelos,Babette Connor Pisco,American Folk Art Museum,Theater,,,2.0
,Talent Unlimited High School,02M519,"09,10,11,12,SE",High School,Yeou Jey Vasconcelos,Babette Connor Pisco,Classic Stage Company,Theater,,,2.0
,Talent Unlimited High School,02M519,"09,10,11,12,SE",High School,Yeou Jey Vasconcelos,Babette Connor Pisco,Jose Limon Dance Company,Dance,,,2.0
,Talent Unlimited High School,02M519,"09,10,11,12,SE",High School,Yeou Jey Vasconcelos,Babette Connor Pisco,Lar Lubovitch Dance,Dance,,,2.0
,Talent Unlimited High School,02M519,"09,10,11,12,SE",High School,Yeou Jey Vasconcelos,Babette Connor Pisco,Martha Graham School of Contemporary Dance,Dance,,,2.0
,Talent Unlimited High School,02M519,"09,10,11,12,SE",High School,Yeou Jey Vasconcelos,Babette Connor Pisco,"Metropolitan Opera Guild, The",Music,,,2.0
,Talent Unlimited High School,02M519,"09,10,11,12,SE",High School,Yeou Jey Vasconcelos,Babette Connor Pisco,"Opus Dance Theatre & Community Services, Inc.",Dance,,,2.0
,Talent Unlimited High School,02M519,"09,10,11,12,SE",High School,Yeou Jey Vasconcelos,Babette Connor Pisco,Park Avenue Armory,Theater,,,2.0
,Talent Unlimited High School,02M519,"09,10,11,12,SE",High School,Yeou Jey Vasconcelos,Babette Connor Pisco,Paul Taylor's American Modern Dance Theatre,Dance,,,2.0
,Talent Unlimited High School,02M519,"09,10,11,12,SE",High School,Yeou Jey Vasconcelos,Babette Connor Pisco,"Pentacle (Danceworks, Inc.)",Dance,,,2.0
,Talent Unlimited High School,02M519,"09,10,11,12,SE",High School,Yeou Jey Vasconcelos,Babette Connor Pisco,Rioult Dance Company,Dance,,,2.0
,Talent Unlimited High School,02M519,"09,10,11,12,SE",High School,Yeou Jey Vasconcelos,Babette Connor Pisco,Shakespeare Theater Competition,Theater,,,2.0
,Talent Unlimited High School,02M519,"09,10,11,12,SE",High School,Yeou Jey Vasconcelos,Babette Connor Pisco,Signature Theatre,Theater,,,2.0
,Talent Unlimited High School,02M519,"09,10,11,12,SE",High School,Yeou Jey Vasconcelos,Babette Connor Pisco,St. Anne's Warehouse,Theater,,,2.0
,Talent Unlimited High School,02M519,"09,10,11,12,SE",High School,Yeou Jey Vasconcelos,Babette Connor Pisco,Theatre Development Fund,Dance,,,2.0
,Talent Unlimited High School,02M519,"09,10,11,12,SE",High School,Yeou Jey Vasconcelos,Babette Connor Pisco,Theatre Development Fund,Theater,,,2.0
,Talent Unlimited High School,02M519,"09,10,11,12,SE",High School,Yeou Jey Vasconcelos,Babette Connor Pisco,Western Wind Vocal Ensemble,Music,,,2.0
,The 47 American Sign Language & English Lower School,02M347,"PK,0K,01,02,03,04,05,06,07,08,SE",Elemenary and Middle School,David Bowell,Maryanne Fisher,Children's Museum of the Arts,Visual Arts,,,2.0
,The High School For Language And Diplomacy,02M399,"09,10,11,12,SE",High School,Sarah Hernandez,Joseph Anderson,None,,,,2.0
,The High School of Fashion Industries,02M600,"09,10,11,12,SE",High School,Daryl Blank A,Kate Boulamaali,Arts Connection,Visual Arts,,,2.0
,The High School of Fashion Industries,02M600,"09,10,11,12,SE",High School,Daryl Blank A,Kate Boulamaali,Arts Connection,Other,,,2.0
,The High School of Fashion Industries,02M600,"09,10,11,12,SE",High School,Daryl Blank A,Kate Boulamaali,Atlantic Theater Company,Theater,,,2.0
,The High School of Fashion Industries,02M600,"09,10,11,12,SE",High School,Daryl Blank A,Kate Boulamaali,International Center of Photography,Film/Media,,,2.0
,The High School of Fashion Industries,02M600,"09,10,11,12,SE",High School,Daryl Blank A,Kate Boulamaali,Lincoln Center Education,Theater,,,2.0
